"code", "display", "parent", "url"
"acas", "The Advisory, Conciliation and Arbitration Service (Acas)", "DEPARTMENT_FOR_BUSINESS_AND_TRADE", null
"active-travel-england", "Active Travel England (ATE)", "DEPARTMENT_FOR_TRANSPORT", null
"advisory-committee-on-releases-to-the-environment", "Advisory Committee on Releases to the Environment (ACRE)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"agriculture-and-horticulture-development-board", "Agriculture and Horticulture Development Board (AHDB)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"animal-and-plant-health-agency", "Animal and Plant Health Agency (APHA)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"attorney-generals-office", "Attorney General's Office (AGO)", "ATTORNEY_GENERALS_DEPARTMENTS", null
"board-of-trustees-of-the-royal-botanic-gardens-kew", "Board of Trustees of the Royal Botanic Gardens Kew", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"border-force", "Border Force", "HOME_OFFICE", "https://ukhomeoffice.sharepoint.com/sites/prog3312/SitePages/One-Big-Thing.aspx"
"british-wool", "British Wool", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"broads-authority", "Broads Authority", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"building-digital-uk", "Building Digital UK (BDUK)", "DEPARTMENT_FOR_SCIENCE_INNOVATION_AND_TECHNOLOGY", null
"cabinet-office", "Cabinet Office", "CABINET_OFFICE", null
"central-civil-service-fast-stream", "Central Civil Service Fast Stream", "CABINET_OFFICE", null
"centre-for-environment-fisheries-and-aquaculture-science", "Centre for Environment, Fisheries and Aquaculture Science (Cefas)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"charity-commission", "The Charity Commission (Charity Commission)", "CHARITY_COMMISSION", null
"companies-house", "Companies House  (Companies House)", "DEPARTMENT_FOR_BUSINESS_AND_TRADE", null
"competition-and-markets-authority", "Competition and Markets Authority (CMA)", "COMPETITION_AND_MARKETS_AUTHORITY", null
"construction-industry-training-board", "Construction Industry Training Board (CITB)", "DEPARTMENT_FOR_EDUCATION", null
"consumer-council-for-water", "Consumer Council for Water (CCW)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"covent-garden-market-authority", "Covent Garden Market Authority (CGMA)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"criminal-injuries-compensation-appeals-panel", "Criminal Injuries Compensation Appeals Panel", "MINISTRY_OF_JUSTICE", null
"crown-commercial-service", "Crown Commercial Service (CCS)", "CABINET_OFFICE", null
"crown-prosecution-service", "Crown Prosecution Service (CPS)", "ATTORNEY_GENERALS_DEPARTMENTS", null
"dartmoor-national-park-authority", "Dartmoor National Park Authority (DNPA)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"defence-electronics-and-components-agency", "Defence Electronics and Components Agency (DECA)", "MINISTRY_OF_DEFENCE", null
"defence-equipment-and-support", "Defence Equipment and Support (DE&S)", "MINISTRY_OF_DEFENCE", null
"defence-nuclear-organisation", "Defence Nuclear Organisation (DNO)", "MINISTRY_OF_DEFENCE", null
"defence-science-and-technology-laboratory", "Defence Science and Technology Laboratory (Dstl)", "MINISTRY_OF_DEFENCE", null
"science-advisory-council", "Defra's Science Advisory Council (SAC)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"department-for-business-and-trade", "Department for Business and Trade (DBT)", "DEPARTMENT_FOR_BUSINESS_AND_TRADE", null
"department-for-culture-media-and-sport", "Department for Culture, Media and Sport (DCMS)", "DEPARTMENT_FOR_CULTURE_MEDIA_AND_SPORT", null
"department-for-education", "Department for Education (DfE)", "DEPARTMENT_FOR_EDUCATION", null
"department-for-energy-security-and-net-zero", "Department for Energy Security and Net Zero (DESNZ)", "DEPARTMENT_FOR_ENERGY_SECURITY_AND_NET_ZERO", null
